Название,Жанр,Режиссёр,Страна,Год,URL
Чарли Браво,"приключенческий фильм, военный фильм",Клод Бернар-Обер,Франция,1980,https://ru.wikipedia.org/wiki/%D0%A7%D0%B0%D1%80%D0%BB%D0%B8_%D0%91%D1%80%D0%B0%D0%B2%D0%BE_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
П.К.П.,исторический,"Георгий Стабовой , Аксель Лундин",СССР,1926,https://ru.wikipedia.org/wiki/%D0%9F.%D0%9A.%D0%9F.
Человек на рельсах,драма,Анджей Мунк,Польша,1956,https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA_%D0%BD%D0%B0_%D1%80%D0%B5%D0%BB%D1%8C%D1%81%D0%B0%D1%85
Убийства в полночь,драма,Дик Лоури,США,1991,https://ru.wikipedia.org/wiki/%D0%A3%D0%B1%D0%B8%D0%B9%D1%81%D1%82%D0%B2%D0%B0_%D0%B2_%D0%BF%D0%BE%D0%BB%D0%BD%D0%BE%D1%87%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Убийства в Чайна Лейк,триллер,Алан Мецгер,США,1990,https://ru.wikipedia.org/wiki/%D0%A3%D0%B1%D0%B8%D0%B9%D1%81%D1%82%D0%B2%D0%B0_%D0%B2_%D0%A7%D0%B0%D0%B9%D0%BD%D0%B0_%D0%9B%D0%B5%D0%B9%D0%BA
Убийства в ночном поезде,фильм ужасов,Альдо Ладо,Италия,1975,https://ru.wikipedia.org/wiki/%D0%A3%D0%B1%D0%B8%D0%B9%D1%81%D1%82%D0%B2%D0%B0_%D0%B2_%D0%BD%D0%BE%D1%87%D0%BD%D0%BE%D0%BC_%D0%BF%D0%BE%D0%B5%D0%B7%D0%B4%D0%B5
Как заниматься любовью по-английски,"комедия, мелодрама",Том Вон,США,2014,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BA_%D0%B7%D0%B0%D0%BD%D0%B8%D0%BC%D0%B0%D1%82%D1%8C%D1%81%D1%8F_%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C%D1%8E_%D0%BF%D0%BE-%D0%B0%D0%BD%D0%B3%D0%BB%D0%B8%D0%B9%D1%81%D0%BA%D0%B8
Человек на Луне,"биографическая, драма",Дэмьен Шазелл,США,2018,"https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA_%D0%BD%D0%B0_%D0%9B%D1%83%D0%BD%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2018)"
Убийства в Оксфорде,"триллер, криминальный фильм",Алекс де ла Иглесиа,Великобритания Франция Испания,2008,https://ru.wikipedia.org/wiki/%D0%A3%D0%B1%D0%B8%D0%B9%D1%81%D1%82%D0%B2%D0%B0_%D0%B2_%D0%9E%D0%BA%D1%81%D1%84%D0%BE%D1%80%D0%B4%D0%B5
Финкс,"музыкальная, кинокомедия",Ли Катцин,США,1970,https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BD%D0%BA%D1%81
